Date,Open,High,Low,Close,Adj Close,Volume
1996-06-25,2838.260010,2838.570068,2837.899902,2838.080078,2838.080078,0
1996-06-26,2851.580078,2851.850098,2849.510010,2849.709961,2849.709961,0
1996-06-27,2849.530029,2849.979980,2843.620117,2849.979980,2849.979980,0
1996-06-28,2876.129883,2876.129883,2876.129883,2876.129883,2876.129883,0
1996-07-01,2881.870117,2881.870117,2881.870117,2881.870117,2881.870117,0
1996-07-02,2881.820068,2881.820068,2881.820068,2881.820068,2881.820068,0
1996-07-03,2862.409912,2862.409912,2862.409912,2862.409912,2862.409912,0
1996-07-04,2855.699951,2855.699951,2855.699951,2855.699951,2855.699951,0
1996-07-05,2840.290039,2840.290039,2840.290039,2840.290039,2840.290039,0
1996-07-08,2838.169922,2838.169922,2838.169922,2838.169922,2838.169922,0
1996-07-09,2849.919922,2849.919922,2849.919922,2849.919922,2849.919922,0
1996-07-10,2855.520020,2855.520020,2855.520020,2855.520020,2855.520020,0
1996-07-11,2838.959961,2838.959961,2838.959961,2838.959961,2838.959961,0
1996-07-12,2823.610107,2823.610107,2823.610107,2823.610107,2823.610107,0
1996-07-15,2811.120117,2811.120117,2811.120117,2811.120117,2811.120117,0
1996-07-16,2732.199951,2732.199951,2732.199951,2732.199951,2732.199951,0
1996-07-17,2752.250000,2752.250000,2752.250000,2752.250000,2752.250000,0
1996-07-18,2751.439941,2751.439941,2751.439941,2751.439941,2751.439941,0
1996-07-19,2774.280029,2774.280029,2774.280029,2774.280029,2774.280029,0
1996-07-22,2751.550049,2751.550049,2751.550049,2751.550049,2751.550049,0
1996-07-23,2748.889893,2748.889893,2748.889893,2748.889893,2748.889893,0
1996-07-24,2724.699951,2724.699951,2724.699951,2724.699951,2724.699951,0
1996-07-25,2732.330078,2732.330078,2732.330078,2732.330078,2732.330078,0
1996-07-26,2740.939941,2740.939941,2740.939941,2740.939941,2740.939941,0
1996-07-29,2747.689941,2747.689941,2747.689941,2747.689941,2747.689941,0
1996-07-30,2736.889893,2736.889893,2736.889893,2736.889893,2736.889893,0
1996-07-31,2748.770020,2748.770020,2748.770020,2748.770020,2748.770020,0
1996-08-01,2767.330078,2767.330078,2767.330078,2767.330078,2767.330078,0
1996-08-02,2767.280029,2769.580078,2767.280029,2768.929932,2768.929932,0
1996-08-05,2784.310059,2784.310059,2784.310059,2784.310059,2784.310059,0
1996-08-06,2818.419922,2818.419922,2818.419922,2818.419922,2818.419922,0
1996-08-07,2837.570068,2838.909912,2836.929932,2837.780029,2837.780029,0
1996-08-08,2853.899902,2853.899902,2853.899902,2853.899902,2853.899902,0
1996-08-09,2857.459961,2857.459961,2857.459961,2857.459961,2857.459961,0
1996-08-12,2856.330078,2856.330078,2856.330078,2856.330078,2856.330078,0
1996-08-13,2859.639893,2859.639893,2859.639893,2859.639893,2859.639893,0
1996-08-14,2841.260010,2841.260010,2841.260010,2841.260010,2841.260010,0
